Date,Margin Debt,Free Credit in Cash Accounts,Free Credit in Margin Accounts
1/1/1997,99460,41280,22870
2/1/1997,100000,40090,22200
3/1/1997,100160,41050,22930
4/1/1997,98870,37560,22700
5/1/1997,106010,39400,22050
6/1/1997,113440,41840,23860
7/1/1997,116190,43985,24290
8/1/1997,119810,42960,23375
9/1/1997,126050,43770,23630
10/1/1997,128190,47465,26950
11/1/1997,127330,45470,26735
12/1/1997,126090,52160,31410
1/1/1998,127790,48620,29480
2/1/1998,135590,48640,27450
3/1/1998,140340,51340,27430
4/1/1998,140240,51050,28160
5/1/1998,143600,47770,26200
6/1/1998,147700,51205,29840
7/1/1998,154370,53780,31820
8/1/1998,147800,53850,38460
9/1/1998,137540,54240,41970
10/1/1998,130160,54610,43500
11/1/1998,139710,56170,40620
12/1/1998,140980,62450,40250
1/1/1999,153240,59600,36880
2/1/1999,151530,57910,38850
3/1/1999,156440,59435,40120
4/1/1999,172880,60870,41200
5/1/1999,177984,61665,41250
6/1/1999,176930,64100,42865
7/1/1999,178360,60000,44330
8/1/1999,176390,62600,44230
9/1/1999,179316,62810,47125
10/1/1999,182272,61085,51040
11/1/1999,206280,68200,49480
12/1/1999,228530,79070,55130
1/1/2000,243490,75760,57800
2/1/2000,265210,79700,56470
3/1/2000,278530,85530,65020
4/1/2000,251700,76190,65930
5/1/2000,240660,73500,66170
6/1/2000,247200,74140,64970
7/1/2000,244970,74970,71730
8/1/2000,247560,72640,68020
9/1/2000,250780,74766,70959
10/1/2000,233376,73271,83131
11/1/2000,219110,74050,96730
12/1/2000,198790,84400,100680
1/1/2001,197110,81380,90380
2/1/2001,186870,78670,99400
3/1/2001,165350,77520,106300
4/1/2001,166940,77460,97470
5/1/2001,174180,76260,91990
6/1/2001,170000,75270,98430
7/1/2001,165250,73490,97950
8/1/2001,161130,73710,103990
9/1/2001,144670,74220,115450
10/1/2001,144010,69550,101850
11/1/2001,148650,72090,98330
12/1/2001,150450,78040,101640
1/1/2002,150390,75110,97330
2/1/2002,147030,72730,99350
3/1/2002,149370,69790,93700
4/1/2002,150940,68540,92140
5/1/2002,150860,66120,92950
6/1/2002,146270,68280,95830
7/1/2002,136160,68860,98080
8/1/2002,132160,63700,95400
9/1/2002,130210,67550,98630
10/1/2002,130570,66780,96620
11/1/2002,133060,67380,91240
12/1/2002,134380,73340,95690
1/1/2003,134910,66200,96430
2/1/2003,134030,67260,95400
3/1/2003,135910,68860,90830
4/1/2003,135940,60680,88640
5/1/2003,146380,71270,88540
6/1/2003,148550,74350,87920
7/1/2003,148450,76170,91210
8/1/2003,149660,72000,88040
9/1/2003,155870,74760,88620
10/1/2003,162720,79530,89360
11/1/2003,172140,77130,87440
12/1/2003,173220,84920,92560
1/1/2004,178820,82740,92570
2/1/2004,180360,84540,93840
3/1/2004,179710,80560,100680
4/1/2004,181280,84670,103670
5/1/2004,178470,85060,106250
6/1/2004,180090,85540,109820
7/1/2004,177030,83530,114720
8/1/2004,177100,80280,114330
9/1/2004,180100,83400,110720
10/1/2004,185700,81610,110870
11/1/2004,196990,85740,110960
12/1/2004,203790,93580,117850
1/1/2005,203320,87260,115350
2/1/2005,199480,77960,94330
3/1/2005,201690,80200,100200
4/1/2005,194160,74720,97450
5/1/2005,196270,72690,99480
6/1/2005,200500,76380,105550
7/1/2005,210940,74130,99000
8/1/2005,208660,75910,99050
9/1/2005,217760,79310,106730
10/1/2005,212540,77550,113110
11/1/2005,219020,78330,110610
12/1/2005,221660,88730,119710
1/1/2006,232190,83250,115220
2/1/2006,222780,81600,117970
3/1/2006,236670,82750,119360
4/1/2006,241540,83000,119020
5/1/2006,230540,81090,126210
6/1/2006,225780,84400,137550
7/1/2006,231490,79420,141000
8/1/2006,226480,79460,139290
9/1/2006,237120,80470,142580
10/1/2006,244370,80200,143400
11/1/2006,270520,90980,155200
12/1/2006,275380,94450,159040
1/1/2007,285610,90340,156190
2/1/2007,295870,96550,155140
3/1/2007,293160,99690,161890
4/1/2007,317990,104360,162570
5/1/2007,353030,109030,176200
6/1/2007,378240,119300,179920
7/1/2007,381370,122740,205830
8/1/2007,331370,118250,214890
9/1/2007,329510,118910,208540
10/1/2007,345420,120840,222900
11/1/2007,344300,128530,246520
12/1/2007,322780,130620,274980
1/1/2008,328330,142100,276390
2/1/2008,334900,133670,266050
3/1/2008,311660,122140,305650
4/1/2008,295550,100600,313740
5/1/2008,310310,95930,325040
6/1/2008,314360,96090,351340
7/1/2008,313290,98890,370200
8/1/2008,292110,90860,358850
9/1/2008,299960,106670,193350
10/1/2008,233350,100330,186870
11/1/2008,201480,103510,185320
12/1/2008,186710,106650,181980
1/1/2009,177710,93500,155690
2/1/2009,173310,91120,154740
3/1/2009,182160,90560,137680
4/1/2009,184120,91890,125860
5/1/2009,189250,89880,117500
6/1/2009,188250,89980,120350
7/1/2009,199460,84040,118820
8/1/2009,206720,90450,120040
9/1/2009,220790,86490,125930
10/1/2009,231820,94150,136510
11/1/2009,220958,87487,134946
12/1/2009,230879,91687,123780
1/1/2010,233684,88669,134677
2/1/2010,263657,106131,164624
3/1/2010,277798,108908,162169
4/1/2010,295550,111217,160630
5/1/2010,268566,114051,166706
6/1/2010,263202,114265,172908
7/1/2010,267468,106290,172179
8/1/2010,268371,106870,174209
9/1/2010,288540,114321,173544
10/1/2010,303428,114784,176588
11/1/2010,309340,119305,176805
12/1/2010,313678,126098,182426
1/1/2011,326868,130894,173545
2/1/2011,348979,135760,179102
3/1/2011,355413,133386,170139
4/1/2011,360883,133131,175399
5/1/2011,355736,133727,175508
6/1/2011,345273,139575,183547
7/1/2011,344572,138316,182957
8/1/2011,308866,135508,193533
9/1/2011,298277,141806,204307
10/1/2011,317028,133639,188141
11/1/2011,303930,132934,188259
12/1/2011,301616,142533,189143
1/1/2012,309844,137309,174889
2/1/2012,323021,139609,177639
3/1/2012,330815,142297,182814
4/1/2012,335154,138909,182021
5/1/2012,315147,139111,187938
6/1/2012,320952,138937,192149
7/1/2012,313525,124330,194741
8/1/2012,320395,124276,196786
9/1/2012,339159,129389,205176
10/1/2012,342325,124800,200406
11/1/2012,351441,135650,202425
12/1/2012,355009,162206,211576
1/1/2013,388123,142856,199709
2/1/2013,390351,142123,208682
3/1/2013,403933,144530,197887
4/1/2013,408677,140706,191719
5/1/2013,401606,146765,199756
6/1/2013,407681,150093,200308
7/1/2013,412101,144495,194790
8/1/2013,414442,143808,195181
9/1/2013,432852,149895,197780
10/1/2013,445022,151494,199889
11/1/2013,456378,150214,199153
12/1/2013,478502,157000,197521
1/1/2014,487549,151878,195863
2/1/2014,502093,154049,190312
3/1/2014,487932,156083,194461
4/1/2014,475195,149801,194679
5/1/2014,475362,150474,188551
6/1/2014,502270,160293,184723
7/1/2014,498671,155931,177981
8/1/2014,501000,155245,180820
9/1/2014,503901,161621,183243
10/1/2014,492888,158624,185193
11/1/2014,496341,158420,184227
12/1/2014,495756,169295,181223
1/1/2015,485872,163599,178259
2/1/2015,504923,168371,170930
3/1/2015,518055,171625,170074
4/1/2015,549964,168430,167073
5/1/2015,541671,166334,169076
6/1/2015,547957,170614,168441
7/1/2015,530744,168659,169132
8/1/2015,515960,175647,168692
9/1/2015,497279,173760,167132
10/1/2015,513941,174437,163210
11/1/2015,515410,174607,165584
12/1/2015,503444,181812,159677
1/1/2016,487200,180616,162825
2/1/2016,474156,178989,168308
3/1/2016,483909,182673,172525
4/1/2016,495178,176016,187000
5/1/2016,489867,177161,187495
6/1/2016,487636,186233,189585
7/1/2016,513221,183435,188155
8/1/2016,510157,177764,185695
9/1/2016,540615,184757,182833
10/1/2016,523760,182051,182986
11/1/2016,539972,179598,187085
12/1/2016,529372,188062,189979
1/1/2017,553557,186301,186029
2/1/2017,568637,185720,184598
3/1/2017,577674,186892,184977
4/1/2017,590797,180908,184930
5/1/2017,582764,176970,185463
6/1/2017,584258,176707,187500
7/1/2017,594414,173195,184246
8/1/2017,596567,170524,183744
9/1/2017,606334,172872,183599
10/1/2017,607838,169368,184047
11/1/2017,627422,170948,185312
12/1/2017,642798,172999,182773
